req,res
요즘 군대 가정통신문 어떻게 보내주는지 알아?,가정통신문을 보내...?; 메일로?
심지어 다른 조는 사진 올라오는데 우리 애는 왜 안 올라오냐고 난리 난다고 함,그게 뭐야... 홈페이지에 몇주차 별로 뭐 소식 올려주는건 본거같은데
요즘 군대 그렇구나... 몰랐다,편지도 다 메일로 받고 그러더만 ㅋㅋ
진짜 다르다 예전이랑 군대 문화도...,회사 대리님은 애들이 나중에 크면 군대 안갈거라고 굳게 믿으시더라
와 나 방금 충격적인 군대 이야기 봤어...;,뭔데?
"군인 부대 내에서 고양이, 너구리, 개구리한테 동물학대 많이 한다더라...",아...;; 동물학대를 왜 하냐...
와 진짜 충격적이다 ㅜㅜ판매금지 이유가 군대에서... 동물들을 왜 괴롭히냐 진짜 화난다,하여튼간 자기네들이 못난걸 왜 동물한테 푸냐고...
쿠킹덤 열심히 하고 있니?,잠깐 접었다가 다시 열심히 하는중
엄청 열심히 하더니만,시험기간이라 공부한다고 접었다가 끝나고 다시 해 ㅋㅋ
아 그러면 뭐 그 정도는 원래 당연한거죠,근데 오랜만에 하니까 퀘스트가 많아서 재밌더라구
원래 게임도 좀 쉬어줬다가 해야 재밌어 ㅋㅋ,맞아 ㅋㅋ 앞으로 두달에 한번쯤은 일주일씩 쉴까봐 ㅋㅋ
이제 곧 또 컨텐츠 업데이트 된다던데,신 캐릭터 나온다더라!
마트 들러가지고 투게더랑 미니 뻥튀기 사서 뻥스크림 해먹는중 ㅋㅋ,오 뻥스쿠림 오빠가 만들어?
아니 내가 ㅋㅋ 뻥튀기에 그냥 아이스크림 얹으면 끝...,ㅋㅋ 아아 ㅋㅋ 치킨은 먹었어?
아 오늘 집밥 먹었다 냉장고 비우느라 ㅋㅋ 주말에 시킬려고 오빠랑,아아 ㅋㅋ 나는 너가 쏘아올린 치킨에 정통으로 맞아서 치킨 먹었다
겁나 웃겨 ㅋㅋ 어디 치킨 먹었어?,네네인데 안먹어본 매뉴 도전함
오 ㅋㅋ 뭐였어? 청양마요?,네네 소이치킨 먹어봤어?
소이치킨? 첨 듣는다 무슨 맛이야?,교촌 오리지널 맛이랑 비슷해 간장맛
헐... 내 입맛인데 ㅋㅋ,ㅋㅋ 짭짤하긴 하더라
간장치킨 맛있을듯 ㅜㅜ,두툼한 감튀랑 떡도 있더라
오 ㅋㅋ 세트구성에?,아 그냥 치킨인데 같이 들어있더라
아아 ㅋㅋ 그런 구성이 좋더라 네네에 여기도 치즈스틱 주고,ㅋㅋ 여기는 치즈스틱은 안줘서 사이드로 따로 주문 했다...
아 나 게임 하나 새로 하려고 했는데 마음 접었어,왜?
그래서 하려고 했는데 오늘 전화와서 해주는 얘기 들으니까 못하겠더라,도대체 어떤 얘기를 들었길래 하기도 전에 안하려고 햌 ㅋㅋ
그냥 그건 개인플레이가 안된대,그럼 어떻게 플레이를 해?
길드 무조건 들어가야 한다더라고,그런게 어딨어 ㅜㅜ
몰라.그렇대,나도 절대 못하겠다 그 게임.
