req,res
맛있음 버거킹,오늘 어땠어
아주조앗다,버거킹이 최고같지만
푸짐해  뭐가,할머니는 롯데리아를 원하셨어
아닌거같아,마음속 1티어
ㅋㅋ 원챔,롯데리아...
모스트챔0,할머니 모스트픽임
거기맥날밖에없어서그런가,아 충주에 롯데리아가 없나
그런듯 멀리잇나봄,롯데리아는 섬에도 있을거같은데
섬처럼멀리,마자 맥날간기억밖에 없네
나도,난 맥날 슈비버거가 맛있더라/이름은 엄청 맛있을거같아/누가 그럼?
난 상하이버거,상하이는 저렴이인데?/응 니취향
근데매콤햐서조아,알았어
이놈이,응 치킨덩어리
그거맛남,난 고급진 새우죠
누나 어떤차가 멋있음?,음 티코/
이상해... 정말루...,ㅋㅋ 왜
티코라니,귀엽던데
귀여울순 있어도 멋있진않아,맘에듦 멋져
우리 아파트 티코도 사라짐,맞아 티코소멸됨
그러니까,우리곰팡이나 소멸되지/ㅋㅋ 잘사자/이제옷장을 좀 회사틱하게 바꿔야겟다/청약만열심히넣고잇다/너청약하나/우리는 둘다 자차가 없으니깐
어디간걸까,다들 폐차 ㅠㅠ
나 이제 해야지,내친구들은 뭐그냥 다 이제 적응하고있지/퇴사한애들은 놀고있고
배부르고 등따시니까 잘안되네,나가라
그니까 노는맛이 좋지 ㅋㅋ 솔직히,놀면 계속놀게됨
근데 내친구도 이번에 한명 퇴사함,누구
그러니까 이게 습관이 되면 안되는데,맞아 이게 한번 쉬면 계속 쉬게 돼
친구 있음 이번에 그냥 나왔더라 이유는 모르겠어,치킨을 먹어야겟네 걔랑
아무튼간 사람이 규칙적인 생활이 필요하긴해...,그런거 얘기 재밋음
마자 재밌지,응응 규칙적인게최고지
친구랑 이제 만나서 봐야겠다,그러면서 1년에 한 번 보자나
나 졸업했당 이번학기에 졸업함,논문씀?
스킵 그냥 졸업시험대체 ㅋㅋ,오 합격핵으?
그 졸업시험도 시험으로 대체,날먹챔이 여깃네
졸업일자 나오면 신청해야지,너가왜 실업수당임
받을수 있으면 받아야징,일도안하셧는데여
갸꿀 청년 실업 화이팅,졸업햇음 취짇해야지
누나 할머니 어떠신거같아,오늘 친척분 오신다고 이쁜 옷 입으심
아 누구오신대,그이모 할머니 오시는듯/찹쌀 밥 해오신다는데
아이구 또 오시는구만,네 준비하세요
아 찹쌀밥이라니,점심그거인듯
할머니가 그래도 누구 오시면 좋아하심,아주좋아하셔서 옷도갈아입으심
그건 좋은듯,세안도열심히하고/굳굳
응응 그래도 할머니가 그때 힘이 나시는듯,그래서 자주오면 좋긴한데
잠만 자다 가심,그니께
ㅋㅋ 맞아,ㅋㅋ 우리 게이머라고 하면서/이래서 선임은... 고된거 같아
아주 피곤하겠지,ㅋㅋ 잠자러 감
그니까... 얼른 오빠랑,웅웅  어제 출발 6시 50분에 했는데 일곱시 반에 도착했어.../아닌가...? 여덟시였나?/여덟시다/그래서 7시에 맞춰서 가려구...
오빠랑 데이트 하고싶어 ㅠㅠ,주말에 하남 가장/내가 몬스터 시간 알아볼겡/아 두시간 25000원이당
비싸 ㅋㅋ,난 혹시나 기대했는데...ㅠ
뽕 뽑아야지...,혹시 우리가 잘못본거 아닐까 하고...ㅠㅠ
ㅋㅋ 근데 너무 비싸긴하다,ㅠㅠ 하... 나 거지네...
왜왜 아니야,담달 월급때까지
그럼 내가 데이트비용 낼게 어때,그것도 싫은뎅.../일단 담달 월급 받고
어쩔 수 없잖아ㅠㅠ,저축 시작해야지
가능해...? ㅋㅋ,저축을 좀 줄여야겠다.../80만원만 해야지...
나는 축구는 잘 안보는대 손흥민은 좋더라,손흥민은 연예인이지
축구하면 얼굴 잘생겨지나,어딜봐서
흠 과학적이지 않냐,너도 축구해
운동하면서 피부도 조아지고,그냥몸관리때문인듯
그러면 얼굴도 잘생겨지구,그건 모르는데
아 축구가 하고싶다,축구함?
오랜만에 축구하면서 땀흘리거싶어,공구해놔
다리가 다쳐서 좀 힘들지만,그건 인정
아 아문튼 땀흘리고 싶어,열운해
여행가고싶다,나도
어디가고싶은데,난휴양지/수영좀하고싶다
수영이라니...,풀빌라이런곳
코로나덩어리네,여름인데수영도못함/맛난거많이먹고
나는 갯벌가구 싶네,갯벌 좋아
조개들 찾아서 놀래키기,대하축제 하려나
해산물들이랑 친하게 지낼듯,아주내절친
아니 어제 비왔잖아,웅웅 비 너무 많이왔어
갑자기 비 와서 깜짝놀랐어,나 출근할때
요즘 계속 비 안왔는데...,버스탈때는
웅,비 안와서/들어가서 자대배치 받으면 그때부터 한달만지나면/친해져야 내가 받을수 있는게 많은지 다 알아/예전보다는 훨씬/따로있어?/하루에 밥먹듯이 언니랑 싸워서/배우자/요즘 쇼핑몰이 너무 잘되어있어서 힙한 롱슬리브/어차피 나가지도않는다고 하면서 그러더니 자기혼자하고왔음 어이없어/어제 스토리 보고 기가ㅏㅊ서/드라마는ㄴ 좀 더 사실적이고/맞아 방송연예/보통 영화보자는 말 내가안해서/부합하지는 않는데/난 어차피 사람볼때 얼굴 잘 안봐/좋은 이런제도/면접볼 때 내가 써옴/이랗게 있으니가/성남으로 가면/팔고싶은데 팔면 세금이 일억이라고/학식
맞지 ㅋㅋ,우산 안챙겼는데 버스타자마자 투둑 하더니
ㅋㅋ 그니까,내리니까 개많이와
어떻게 그래,우산없는데
난 못그럴듯,어떡해... 그냥 맞고 가야지
없어도...,어차피 옷도
차라리 집을 갔다오든가,금방 말라서 괜찮아
ㅋㅋ 하긴 그거,이미 버스타게 안됐어
기능성이잖아 ㅇㅋ 인정할게,어쩔수없었다...
ㅋㅋ 아니 근데 그날 아침에 집 딱 나오자마자 복도에서 막 비 냄새가 엄청 나는거야,웅웅 ㅋㅋ
아 우리 언제지,9월 3째주인가 밀림
그렇구나,아제맞기싫은데
그 누나 친구가 알겠지,응응 연락준데
아제일수도 잇음?,아니점점 나이가 낮아져 무서움 난곧 30이라고
음... 우리 뭐맞았지?,ㄷㄷ 화이자
화이자구나,덜 아팠어
근데 솔직히 난 뭐가 뭔지 모름,나도 ㅋㅋ 근데 아제는 아프다
그래?,맞아 운명이다/응 안좋으면 난다고 하더라/응 ㅋㅋ/응 사람들이 좋아하는 이유를 알겠더라고
어케알음 아제 아프다구,다들 아프대자나
그런가 근데 그거 나이많은사람 한정아님?,아빠도 아제맞고 앓아누엇다하시고/응응
에엥 그렇구나,나이어리면 부작용심하다고
아무튼 어쩔수없으니,근데 그거 연령자꾸낮아짐
참아야겠다...,빨리 맞아야 해
아 너무 힘들겠는뎅ㄷ,화이자 제발
에구... 근데 9월이면 그래도 아니겠지,원래 3주뒤에 맞아야하는데
우리가 그래도 빨리 맞는 편이니 괜찮겠지,맞아
아무튼 잘되면 좋겠구나,엄마가 걱정
야 그거봄?,이라크?
아 그 사우디,무서운듯 해
나 정말 행복한곳에서 사는거같아,나도정말 감사하게느낌
감사해야대,거기막 총으로 다죽엿던데 국기들엇다고
종교는 무서워요,종교가아님
아휴... 정말 무섭다,진짜 무섭
그거 탈레번 애들 완전 무섭던데,재정신이 아닌듯
나같아도 나라 떠나겠다,나도 도망칠듯
왜 그렇게 정치를 하는걸까,욕심이지
저번에 티비보니 참 그렇더라,어떤거
전쟁이 정말 꿈에나 나올거같은 이야긴줄 알앗는데,근데진짜 우리나라도 휴전임
어디선가는 현실이라니 참,무서워
그게 정말 무서운거지,맞아
아 머리 잘라야대는데,누나랑 같이가자 나도해야함
흠 나근데 가는곳 있으니,응 거기같이가 너가고 나가자
근데 거기서 계속 너무 늦게 온다고 뭐라함 ㅋㅋ,ㅋㅋ 아당연하지
내가 거의 2달만에 가거든,좀어느정도와야 머리걸러주는ㄷ 데
맨날 그사람이 그래서 3주나 1달정도에 오라는데,이사람은 안되겟다
ㅋㅋ 절대안하지 ㅋㅋ,근데원래
응~ 집에만 있으니 필요없음 사실,남자머리 한달에 한번은 가야된대/맞아
응 맞음,너이제 출근하면
그건 맞지,한달에한번은가야함
낼 치과 감,아프겠다
이를 갈을거같아,왜 갈음?
시간 오래 걸린다네,헐 얼마나
보통 2시간 잡음,헐 그렇게나? 엄청걸리네
저번에 그정도 걸렷어 엄청아파,헐 언제 갔었지?
6월1일이 시작임,아 맞다 그때우리 블로그썻자나
그때 부터 햇응께 지금 이제 2달인가,지금은 안아파?
지금은 교정기가 편해졋어,다행이다 그래도 관리잘해
아 나 할인 뽐뿌에서 많이 받음,오 어떤거
오늘 쌀삿자나,아 그거 얼마에삼
오프라인보다 훨씬쌈,너가사면 다 그럴듯
오프라인에서는 10kg 에 삼만원 이상임,맞아
으응? 머가...내가사면,너가사면 다 4천원
아하... 할인마지난,ㅋㅋ 할인대장
아 나 좀 할인에 목말라잇어,ㅋㅋ 인정 엄청나지
좀 괜찮은 할인좀 줘바,나도찾고싶다
아 요기요 할인 안해서 요새 슬퍼,ㅋㅋ 왜안함
그리고 할머니가 안드실까봐 호식이 안시킴,호식인가 시켜
ㅋㅋ 그럴까,할인 안해도 할인 가격 같음
누나 넷플 자주씀?,보고싶은데
응응 그런데왜,막상볼게없어
아하... 나도 그럼 ㅋㅋ,그래도 볼수잇음 자주봄
맨날 앞에서 제목구경만 함,티비로볼수잇지않나
근데 나는 넷플보다 왓챠가 더 좋은거같아,나도
응응  왓챠는 단점이 모바일은 배속이 안돼,이따 넷플릭스보면서 팝콘먹을까
넷플릭스는 좋긴함 그럴까,아그건좀그러네
근데 아빠가 맨날 그거 결제하는건가?,과자사주셈
아 ㅋㅋ,그거그럴걸/라노벨이머야/공항이라서 외국인도 많았고
아 그렇구나...,쓰기전에 물어봐야할듯
근데 넷플 좀 비싸던데,얼만데
흠 저거 만원주지않나,그거 무슨 인원에따라 다르던데
난좀 비싸게 들었던 기억이 남...,근데 한달에 만원이면
우리는 네명짜리잖아... ㅋㅋ 응,그러네
음 난한테는 굉장히 비싼편이다...,그러네...
영화관안간지오래됨,요즘 재밌는 영화 머없나
뭐하는지도모름,저거 조인성 나온거 재밌다던데
뭐지,뭐였더라 그거 4글자 영화
뭔지모르겟다,근데 요새는 영화가기도 좀 그렇다
맞아갓다가 코로나걸리면 큰일임,아무튼 근데 집에서 영화보기도 넘 편해졌음
그건맞아,난 왓챠나 그런것들이 정말 좋은거같아
영화많잖아 거기,어떻게 생각함
나도조음,나 거기서 애니도 엄청 봤는데 좋음
영화재밋는것도많고조아,아주 재밋다구...
난 추격자 다시보고싶음,영화는 이제 근데 재밋는건 다봄 ㅋㅋ
아냐 계속 보고싶어,마자 다시보고싶음 ㅋㅋ
본거또보고,근데 나는 하나 다본건 별로
왜,더이상 보고싶지않아/아무튼 내일 요기요 슈퍼클럽 마지막이니 내일 한번 시킬까 호식이를~?/사람 엄청 많을거같아 ㅋㅋ
난또보고싶은데,그냥 이제 지루하달까...?
얼마나본겨,그래도 아무리 명작이라도 좀 그래
잉,ㅋㅋ 가끔 땡기는 장면이 있긴함 명작면들
맞아 다시보고싶음,응응 그런건 다시보고싶긴함
난 요새 여인의향기 다시보고싶어,근데 그렇게 자주 있지않아
뭔가 포인트가 잇어야함,맞아 그건그럼
그래야다시볼맛도남,마자마자
과자 뭐사줄까,포스틱사주셈
포스틱 근데,포테토칩이랑
아 그거 알겟음,스윙칩도
다 감자류네,그초코칩도
초코칩 그거 맛있음?,응응 난너무조음
우리 과자 어느새 다 사라짐,그거 진짜 숨쉬듯 먹을수잇어
과자는 근데 있으면 다먹게되더라,응응 그게 사는이우지
손에 잡히면 순삭되니,이유지
음...,응응 사라짐/사줘/에피타이저지
맛없는 과자를 사놓으면,돈낭비
욕구가 사라지지앟ㄴ을까,욕구낭비  시간낭비
ㅋㅋ 욕구낭비 ㅋㅋ,왜삼 맛없는거
음 관상용인거지,그냥 쓰레기올려놓으셈
살찌지않게 먹지않는 내자신을 보고 반하는거야,먹고남은봉지
으흠...,어차피 뭐든먹을거
ㅋㅋ 그런가,먹으려고돈버는건데
대단해,그래야 일하지
군대 밥 어때 급식같아?,진심 급식인데 급식아냐
웅웅 ㅋㅋ 그게 뭐야,아니 음식을 몇백인분을 만드니까
역시 냉동이 짱인가,진심
근데 취사병 요즘은 다 요리쪽 학과인 애들 데려가지 않아?,사회에 있을때 요리좀 해봤다거나 그쪽에서 일한애들로 데려가지/근데 어차피 5성급 호텔 요리사가 와도 맛없는건 똑같아
아니 근데 내가,결국 맛있는거만 먹어 웅 우웅우
요새 공부 하는거있음?,롤공부중
그거말구,그럼딱히
저번에 편집 공부한다며,아근데 하고싶은거/그래
어떻게 댐,편집이랑 이모티콘하고싶음
